OID_;Join_Count;TARGET_FID;JOIN_FID;Site;Lat;Long;Source;Elevation;D_Treeline;Original_D_Temp;Min_DT;Max_DT;Mean_DT;mat_tstat;mat_sig;mat_sig_val;mat_npts;beyer_dt;chelsa_dt;ecoclimate_dt;paleopgem_dt;worldclim30s_dt;worldclim25m_dt;ggc_dt;MapName;Level_01;Level_02;Level_03;Countries;GMTED2010
97;0;97;-1;Ducun (827);31;120,4;Farrera et al. (1999);3;;-7 to-10;-7;-10;-8,5;;;;;8,5;5,3249998;3,5586119;1,8659992;3,3000002;3,3000002;3,8269997;;;;;;0
98;0;98;-1;Sanshut (KS);23,1;112,8;Farrera et al. (1999);40;;-7;-7;-7;-7;;;;;4,0322075;4,875;3,2770481;4,3829994;3,5;3,5;2,3269997;;;;;;4
99;0;99;-1;Henglan (PK 19);22,5;113,2;Farrera et al. (1999);30;;-7;-7;-7;-7;;;;;7;4,979166;2,9198189;4,4090004;3,2;3,2;2,3269997;;;;;;1
100;0;100;-1;unknown;45;-123;Bartlein et al. (2011);;;;-6,2818;-3,4682;-4,875;-3,4653;-1;-4,875;1;0,2743182;-0,9500008;-1,9994125;0,592;-1,5250001;-1,5250001;0,2020001;;;;;;50
101;0;101;-1;unknown;47;-123;Bartlein et al. (2011);;;;-9,1073;-6,5787;-7,843;-6,2034;-1;-7,843;1;2,5475994;1,7929993;-4,401112;2,8929997;-5,2570004;-5,157;3,1700001;;;;;;78
102;1;102;56;unknown;45;-121;Bartlein et al. (2011);;;;3,0703;3,7377;3,404;10,2008;1;3,404;1;-10,2253997;-9,8081672;-13,4234702;-8,404;-13,7040002;-12,3039996;-8,0769999;Intermountain West;North America;American Cordillera (North America);Intermountain West;Canada, Mexico, United States;996
103;1;103;56;unknown;33;-109;Bartlein et al. (2011);;;;-9,0504;-7,6186;-8,3345;-11,6418;-1;-8,3345;2;1,2758767;2,8594996;1,4537832;2,5925004;1,8345;1,6345002;3,6614997;Intermountain West;North America;American Cordillera (North America);Intermountain West;Canada, Mexico, United States;1912
104;0;104;-1;unknown;39;-93;Bartlein et al. (2011);;;;-16,9852;-15,1588;-16,072;-17,5996;-1;-16,072;1;2,2348704;-3,157166;-1,4804197;4,914;-1,2279992;-1,2279992;11,3989997;;;;;;197
105;0;105;-1;unknown;41;-91;Bartlein et al. (2011);;;;-16,9404;-13,2136;-15,077;-8,0911;-1;-15,077;1;0,9022201;-6,6813332;-3,3923947;-1,4070012;-3,2229992;-3,2229992;10,4040001;;;;;;161
106;0;106;-1;unknown;35;-85;Bartlein et al. (2011);;;;-13,2529;-12,2601;-12,7565;-25,6998;-1;-12,7565;2;3,230356;4,1231658;3,3246572;8,2895;3,3565004;3,4564998;8,0835006;;;;;;288
107;0;107;-1;unknown;37;-85;Bartlein et al. (2011);;;;-12,2598;-10,9632;-11,6115;-17,9099;-1;-11,6115;2;0,1927311;-1,0635002;-0,8656824;2,7535002;-0,0884998;-0,1885002;6,9385006;;;;;;285
108;0;108;-1;unknown;33;-81;Bartlein et al. (2011);;;;-4,2551;-3,7449;-4;-15,6801;-1;-4;1;-4,6181202;0,0291672;-3,4755239;0,3909998;-3,3000002;-3,3000002;-0,6730003;;;;;;40
109;0;109;-1;unknown;35;-81;Bartlein et al. (2011);;;;-16,2918;-14,7262;-15,509;-19,8122;-1;-15,509;1;5,6176044;9,7714989;6,5488731;11,0929996;6,6090004;6,509;10,8359997;;;;;;161
110;0;110;-1;unknown;33;-79;Bartlein et al. (2011);;;;-15,0191;-13,5329;-14,276;-19,2114;-1;-14,276;1;3,6598196;10,6551676;7,3741016;10,6670007;14,276;14,276;9,6029997;;;;;;0
