OID_,Join_Count,TARGET_FID,JOIN_FID,Site,Lat,Long,Source,Elevation,D_Treeline,Original_D_Temp,Min_DT,Max_DT,Mean_DT,mat_tstat,mat_sig,mat_sig_val,mat_npts,beyer_dt,chelsa_dt,ecoclimate_dt,paleopgem_dt,worldclim30s_dt,worldclim25m_dt,ggc_dt,in_mr,MapName,Level_01,Level_02,Level_03,Countries,GMTED2010
56,0,56,-1,El Valle,9,-80,Farrera et al. (1999),500,,-4,-4,-4,-4,,,,,,-2.7958336,-3.3000565,-2.9829998,-3.3,-3.3,-4.6730003,0,,,,,,61
57,0,57,-1,El Valle,9,-80,Farrera et al. (1999),550,,-5,-5,-5,-5,,,,,,-2.7958336,-3.3000565,-2.9829998,-3.3,-3.3,-4.6730003,0,,,,,,61
58,1,58,130,Lake La Yeguada,8.45,-80.85,Farrera et al. (1999),650,,-5,-5,-5,-5,,,,,-5.1387348,-2.5291672,-3.4313183,-2.907999,-3.4000001,-3.4000001,-4.6730003,1,Chorotega Highlands*,North America,Cordillera Centroamericana,Chorotega Highlands*,"Costa Rica, Nicaragua, Panama",630
59,0,59,-1,San Juan Bosco,3.05,-78.45,Farrera et al. (1999),970,,-7.5,-7.5,-7.5,-7.5,,,,,,-2.8916664,-3.1463642,-2.0499992,,,-4.6730003,0,,,,,,0
60,0,60,-1,Lake Surucucho (Llavicu),3.05,-78.75,Farrera et al. (1999),3180,-800,-7.5,-7.5,-7.5,-7.5,,,,,,-2.9125004,-3.011776,-2.0499992,,,-4.6730003,0,,,,,,0
61,1,61,23,Mera,1.48,-77.5,Farrera et al. (1999),1100,,-7.5,-7.5,-7.5,-7.5,,,,,-3.4552584,-3.0166664,-3.5498648,-2.1330004,-0.9,-3.7,-4.6730003,1,Northern Andes,South America,Andes,Northern Andes,"Colombia, Ecuador, Peru, Venezuela",946
62,0,62,-1,Laguna de Fuquene,5.5,-73.77,Farrera et al. (1999),2580,-1200 to -1500,-6 to -10,-6,-10,-8,,,,,-3.8580132,-3.0666666,-3.5868006,-2.1089993,-3.8,-3.7,-4.6730003,0,,,,,,2542
63,1,63,23,Paramo de Agua Blanca (PABI),5,-74.16,Farrera et al. (1999),3250,-1000 min,-7 to-8,-7,-8,-7.5,,,,,-4.2481203,-3.0958333,-3.6080322,-2.1669998,-1.7,-3.7,-4.6729999,1,Northern Andes,South America,Andes,Northern Andes,"Colombia, Ecuador, Peru, Venezuela",3299
64,1,64,23,La Laguna,4.91,-74.33,Farrera et al. (1999),2900,-400,-3 to-4,-3,-4,-3.5,,,,,-4.2149363,-3.0583334,-3.5819759,-2.1170006,-3.2,-3.7,-4.6729994,1,Northern Andes,South America,Andes,Northern Andes,"Colombia, Ecuador, Peru, Venezuela",2773
65,1,65,23,La Laguna (2nd estimate),4.91,-74.33,Farrera et al. (1999),2900,-900 to -1100,-6 to-8,-6,-8,-7,,,,,-4.2149363,-3.0583334,-3.5819759,-2.1170006,-3.2,-3.7,-4.6729994,1,Northern Andes,South America,Andes,Northern Andes,"Colombia, Ecuador, Peru, Venezuela",2773
66,0,66,-1,Sabana de Bogota (CUX),4.83,-74.2,Farrera et al. (1999),2560,-1200 to -1500,-8,-8,-8,-8,,,,,-4.2149363,-3.0083342,-3.5819759,-2.1170006,-3,-3.7,-4.6730003,0,,,,,,2709
67,1,67,23,"Parque de los Nevados (TNP21,37,40,51)",4.5,-75.5,Farrera et al. (1999),1800-2940,-500,-6,-6,-6,-6,,,,,-3.2913857,-3.0916662,-3.6633625,-2.1420002,-3.7,-3.9000001,-4.6729999,1,Northern Andes,South America,Andes,Northern Andes,"Colombia, Ecuador, Peru, Venezuela",3163
68,0,68,-1,Lagoa Verde,0.27,-64.41,Farrera et al. (1999),250-300,,-5,-5,-5,-5,,,,,-3.6770363,-3.1416664,-3.2264938,-2.6499996,-3.0999999,-3.2,-4.6730003,0,,,,,,56
69,0,69,-1,Lake Pata,0.26,-66.68,Farrera et al. (1999),300,,-5 to -6,-5,-6,-5.5,,,,,-3.7353039,-4.7666664,-3.4013824,-2.75,-3.7,-3.2,-4.6730003,0,,,,,,107
70,0,70,-1,Bosumtwi (B7),6.5,-1.41,Farrera et al. (1999),100,,-3 to-4,-3,-4,-3.5,,,,,-4.0850582,-2.5250015,-3.7588253,-2.5090008,-4,-3.8,-4.6730003,0,,,,,,97
71,0,71,-1,unknown,7,-1,Bartlein et al. (2011),,,,-3.5816,-0.4184,-2,-1.2645,0,0,1,-4.3031731,-2.520834,-3.6993484,-2.75,-3.7,-3.7,-4.6730003,0,,,,,,109
72,1,72,37,unknown,5,9,Bartlein et al. (2011),,,,-4.1653,-2.6347,-3.4,-4.4427,-1,-3.4,1,-3.6319427,-3.4249992,-3.6887684,-2.6089993,-3.8,-3.5,-4.6730003,1,Cameroon line,Africa,Central African Highlands,Cameroon line,"Central African Republic, Cameroon, Equatorial Guinea, Nigeria, São Tomé and Príncipe, Chad",552
73,0,73,-1,unknown,11,13,Bartlein et al. (2011),,,,-7.4714,-5.3286,-6.4,-5.9735,-1,-6.4,1,-4.6921005,-1.9541664,-3.0980148,-5.3169994,-3.0999999,-3.0999999,-4.6730003,0,,,,,,418
74,1,74,29,Sacred Lake,0.03,37.47,Farrera et al. (1999),2400,-1000 to -1100,"-5,1 to -8,8",-5.1,-8.8,-6.95,,,,,-4.1405077,-3.0791664,-3.2289829,-2.3080006,-3.2,-3.2,-4.6730003,1,Eastern Rift mountains,Africa,East African Highlands,Eastern Rift mountains,"Kenya, South Sudan, Tanzania, Uganda",2826
75,1,75,29,Sacred Lake-82,0.03,37.47,Farrera et al. (1999),2400,-700,-4.4,-4.4,-4.4,-4.4,,,,,-4.1405077,-3.0791664,-3.2289829,-2.3080006,-3.2,-3.2,-4.6730003,1,Eastern Rift mountains,Africa,East African Highlands,Eastern Rift mountains,"Kenya, South Sudan, Tanzania, Uganda",2826
76,1,76,29,Lake Rutundu (B),-0.17,37.37,Farrera et al. (1999),3140,-1000 to -1100,"-5,1 to -8,8",-5.1,-8.8,-6.95,,,,,-3.9195404,-3.4416666,-3.2376652,-2.375,-1,-3.3,-4.6729999,1,Eastern Rift mountains,Africa,East African Highlands,Eastern Rift mountains,"Kenya, South Sudan, Tanzania, Uganda",3734
77,1,77,75,Muchoya Swamp,-1.28,29.8,Farrera et al. (1999),2260,,-4,-4,-4,-4,,,,,-4.8188171,-2.916666,-4.0166101,-2.1500006,-4.1999998,-4,-4.6730003,1,Albertine Rift Mountains,Africa,East African Highlands,Albertine Rift Mountains,"Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia",2421
78,1,78,75,unknown,-1,29,Bartlein et al. (2011),,,,-1.464,0.164,-0.65,-0.7985,0,0,2,-4.2485857,-2.9666672,-3.8856573,-1.8579998,-4.1999998,-4,-4.6730003,1,Albertine Rift Mountains,Africa,East African Highlands,Albertine Rift Mountains,"Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia",1882
79,0,79,-1,unknown,1,35,Bartlein et al. (2011),,,,-1.5224,0.7224,-0.4,-0.3564,0,0,1,-4.7221823,-1.7208347,-3.1580219,-2.1170006,-3.4000001,-3.4000001,-4.6730003,0,,,,,,1868
80,0,80,-1,unknown,-1,37,Bartlein et al. (2011),,,,-4.0742,-2.4258,-3.25,-3.943,-1,-3.25,2,-3.5697403,-2.7000008,-3.2476254,-2.3500004,-3.2,-3.4000001,-4.6730003,0,,,,,,1544
81,0,81,-1,unknown,1,37,Bartlein et al. (2011),,,,0.8112,2.1888,1.5,2.1777,1,1.5,1,-4.8923674,-2.5916672,-3.2637615,-2.1919994,-3.2,-3.3,-4.6730003,0,,,,,,1223
82,1,82,47,Colgrain,11.43,76.63,Farrera et al. (1999),2330,,-5 to-2,-2,-5,-3.5,,,,,-2.8403301,-1.645834,-3.4252415,-2.1170006,-3.7,-3.4000001,-4.6730003,1,Indian Subcontinent Ranges,Eurasia,South Asia,Indian Subcontinent Ranges,India,2270
83,1,83,47,Sandynallah,11.43,76.63,Farrera et al. (1999),2200,-800,-5,-5,-5,-5,,,,,-2.8403301,-1.645834,-3.4252415,-2.1170006,-3.7,-3.4000001,-4.6730003,1,Indian Subcontinent Ranges,Eurasia,South Asia,Indian Subcontinent Ranges,India,2270
84,0,84,-1,Peasim sim,2.17,98.08,Farrera et al. (1999),1450,,-3,-3,-3,-3,,,,,-2.9670868,-3.1333332,-3.090477,-1.8250008,,-3,-4.6730003,0,,,,,,0
85,0,85,-1,Danau Di Atas,1.05,100.77,Farrera et al. (1999),1535,,3 min,3,3,3,,,,,-3.9095592,-3.8875008,-3.5829811,-1.9169998,-3.5,-3.5,-4.6730003,0,,,,,,29
86,0,86,-1,Wanda wand,-2.55,121.38,Farrera et al. (1999),440,,-3 to -2,-2,-3,-2.5,,,,,-3.3161011,-2.7416668,-3.9111881,-1.75,-4,-3.7,-4.6730003,0,,,,,,530
87,1,87,48,Lake Hordorli Lake,-2.53,140.55,Farrera et al. (1999),780,,-1 to -2,-1,-2,-1.5,,,,,-2.6941299,-2.7000008,-3.2043743,-1.9080009,0.4,-3.2,-4.6730003,1,Malay Archipelago,Eurasia,Southeast Asia,Malay Archipelago,"Brunei, Indonesia, Malaysia, Philippines, Papua New Guinea, Timor-Leste",727
88,0,88,-1,unknown,29,-99,Bartlein et al. (2011),,,,-5.3571,-4.6429,-5,-14.0017,-1,-5,1,-7.0904608,-4.416666,-8.5346975,-3.2830009,-8.3999996,-8.5,-4.6730003,0,,,,,,181
89,0,89,-1,Laguna Quexil (80-1),16.91,-89.81,Farrera et al. (1999),110,,"-6,5 to-8",-6.5,-8,-7.25,,,,,-2.8305168,-2.3624992,-3.4500446,-2.2000008,-3.5,-3.5,-4.6730003,0,,,,,,134
90,0,90,-1,unknown,27,-81,Bartlein et al. (2011),,,,-3.1001,-1.0099,-2.055,-1.9663,0,0,1,-4.3566723,-1.8083324,-4.6691513,-2.6830006,-4.1999998,-4.1999998,-4.6730003,0,,,,,,6
91,0,91,-1,unknown,21,19,Bartlein et al. (2011),,,,-7.7265,-5.0735,-6.4,-4.8247,-1,-6.4,1,-4.0933199,-4.270834,-5.124856,-5.1090002,-5,-5.0999999,-4.6730003,0,,,,,,965
92,0,92,-1,Sankhu,27.68,85.4,Farrera et al. (1999),1500,,-6 to-8,-6,-8,-7,,,,,-4.7031164,-3.3208323,-3.9330454,-3.717001,-3.5999999,-3.5999999,-4.6730003,0,,,,,,1311
93,1,93,53,Daganba,26.5,105.7,Farrera et al. (1999),1335,,-6,-6,-6,-6,,,,,-3.3608742,-2.0958328,-3.4701424,-2.3829994,-2.8,-3.4000001,-4.6730003,1,South China Mountains,Eurasia,East Asia,South China Mountains,"China, Hong Kong, Taiwan, Vietnam",1459
