OID_,Site,Lat,Long,Source,Elevation,D_Treeline,Original_D_Temp,Min_DT,Max_DT,Mean_DT,mat_tstat,mat_sig,mat_sig_val,mat_npts,beyer_diff_min,beyer_diff_max,beyer_diff_mean,chelsa_diff_min,chelsa_diff_max,chelsa_diff_mean,ecoclimate_diff_min,ecoclimate_diff_max,ecoclimate_diff_mean,paleopgem_diff_min,paleopgem_diff_max,paleopgem_diff_mean,worldclim30s_diff_min,worldclim30s_diff_max,worldclim30s_diff_mean,worldclim25m_diff_min,worldclim25m_diff_max,worldclim25m_diff_mean,ggc_diff_min,ggc_diff_max,ggc_diff_mean,in_mr,MapName,Level_01,Level_02,Level_03,Countries,GMTED2010
47,Haepugua (6),-5.85,142.95,Farrera et al. (1999),1650,,"-3,4 to -6",-3.4,-6,-4.7,,,,,-0.0054012,2.5945988,1.2945988,0.2249998,2.8249998,1.5249998,-0.0921207,2.5078793,1.2078793,1.4499992,4.0499992,2.7499992,-0.1999999,2.4000001,1.1000001,-0.1,2.5,1.2,-1.2730003,1.3269997,0.0269997,0,,,,,,1667
48,Aluaipugua,-5.97,143.15,Farrera et al. (1999),2750,,"-5,8 to -7,3",-5.8,-7.3,-6.55,,,,,2.1005629,3.6005629,2.8505629,2.2541674,3.7541674,3.0041674,2.2858685,3.7858685,3.0358685,3.9079998,5.4079998,4.6579998,1.8999999,3.3999999,2.6499999,2.2000001,3.7000001,2.9500001,1.1269997,2.6269997,1.8769997,1,Malay Archipelago,Eurasia,Southeast Asia,Malay Archipelago,"Brunei, Indonesia, Malaysia, Philippines, Papua New Guinea, Timor-Leste",2718
49,Lynch's Crater (A),-17.37,145.7,Farrera et al. (1999),760,,-3±2,-1,-5,-3,,,,,-2.4276714,1.5723286,-0.4276714,-1.7041664,2.2958336,0.2958336,-2.9167633,1.0832367,-0.9167633,-2.1000004,1.8999996,-0.1000004,-2.9000001,1.0999999,-0.9000001,-2.8,1.2,-0.8,-3.6730003,0.3269997,-1.6730003,0,,,,,,820
50,Strenekoff's Crater,-17.33,145.55,Farrera et al. (1999),740,,-2 to-4,-2,-4,-3,,,,,-1.4276714,0.5723286,-0.4276714,-0.6749992,1.3250008,0.3250008,-1.9167633,0.0832367,-0.9167633,-1.1000004,0.8999996,-0.1000004,-1.7,0.3,-0.7,-1.8,0.2,-0.8,-2.6730003,-0.6730003,-1.6730003,0,,,,,,744
51,Kosipe,-8.47,147.2,Farrera et al. (1999),1960,-1100 to -1600,-6 to -5,-5,-6,-5.5,,,,,2.1029091,3.1029091,2.6029091,2.2250004,3.2250004,2.7250004,0.9957256,1.9957256,1.4957256,3.1750011,4.1750011,3.6750011,2,3,2.5,1,2,1.5,0.3269997,1.3269997,0.8269997,1,Malay Archipelago,Eurasia,Southeast Asia,Malay Archipelago,"Brunei, Indonesia, Malaysia, Philippines, Papua New Guinea, Timor-Leste",2098
52,Wainisavulevu,-17.68,178,Farrera et al. (1999),780,,-4 to-3,-3,-4,-3.5,,,,,0.9868183,1.9868183,1.4868183,0.5083332,1.5083332,1.0083332,0.4203548,1.4203548,0.9203548,0.9330006,1.9330006,1.4330006,0,1,0.5,0.5,1.5,1,-1.6730003,-0.6730003,-1.1730003,1,Fiji,Oceania,Melanesia,Fiji,Fiji,824
53,Vicente Lachner,9.71,-83.93,Farrera et al. (1999),2400,-650,-3.6,-3.6,-3.6,-3.6,,,,,-0.5420851,-0.5420851,-0.5420851,1.0291658,1.0291658,1.0291658,0.1994568,0.1994568,0.1994568,0.6500011,0.6500011,0.6500011,-0.4,-0.4,-0.4,0.1,0.1,0.1,-1.0730003,-1.0730003,-1.0730003,1,Chorotega Highlands*,North America,Cordillera Centroamericana,Chorotega Highlands*,"Costa Rica, Nicaragua, Panama",2349
54,La Chonta (2 & 4),9.68,-83.95,Farrera et al. (1999),2310,-1500,-8,-8,-8,-8,,,,,3.8579149,3.8579149,3.8579149,5.458334,5.458334,5.458334,4.5994568,4.5994568,4.5994568,5.0500011,5.0500011,5.0500011,3,3,3,4.5,4.5,4.5,3.3269997,3.3269997,3.3269997,1,Chorotega Highlands*,North America,Cordillera Centroamericana,Chorotega Highlands*,"Costa Rica, Nicaragua, Panama",2258
55,La Chonta (1),9.68,-83.95,Farrera et al. (1999),2310,-1000 to -1400,-7 to-8,-7,-8,-7.5,,,,,2.8579149,3.8579149,3.3579149,4.458334,5.458334,4.958334,3.5994568,4.5994568,4.0994568,4.0500011,5.0500011,4.5500011,2,3,2.5,3.5,4.5,4,2.3269997,3.3269997,2.8269997,1,Chorotega Highlands*,North America,Cordillera Centroamericana,Chorotega Highlands*,"Costa Rica, Nicaragua, Panama",2258
56,El Valle,9,-80,Farrera et al. (1999),500,,-4,-4,-4,-4,,,,,,,,1.2041664,1.2041664,1.2041664,0.6999435,0.6999435,0.6999435,1.0170002,1.0170002,1.0170002,0.7,0.7,0.7,0.7,0.7,0.7,-0.6730003,-0.6730003,-0.6730003,0,,,,,,61
57,El Valle,9,-80,Farrera et al. (1999),550,,-5,-5,-5,-5,,,,,,,,2.2041664,2.2041664,2.2041664,1.6999435,1.6999435,1.6999435,2.0170002,2.0170002,2.0170002,1.7,1.7,1.7,1.7,1.7,1.7,0.3269997,0.3269997,0.3269997,0,,,,,,61
58,Lake La Yeguada,8.45,-80.85,Farrera et al. (1999),650,,-5,-5,-5,-5,,,,,-0.1387348,-0.1387348,-0.1387348,2.4708328,2.4708328,2.4708328,1.5686817,1.5686817,1.5686817,2.092001,2.092001,2.092001,1.5999999,1.5999999,1.5999999,1.5999999,1.5999999,1.5999999,0.3269997,0.3269997,0.3269997,1,Chorotega Highlands*,North America,Cordillera Centroamericana,Chorotega Highlands*,"Costa Rica, Nicaragua, Panama",630
59,San Juan Bosco,3.05,-78.45,Farrera et al. (1999),970,,-7.5,-7.5,-7.5,-7.5,,,,,,,,4.6083336,4.6083336,4.6083336,4.3536358,4.3536358,4.3536358,5.4500008,5.4500008,5.4500008,,,,,,,2.8269997,2.8269997,2.8269997,0,,,,,,0
